Date,rv5
2010-01-04,3.59054621206398e-05
2010-01-05,1.4446414784157472e-05
2010-01-06,1.0016016981292962e-05
2010-01-07,3.926048251745565e-05
2010-01-08,2.64227679794353e-05
2010-01-11,2.238901680985547e-05
2010-01-12,3.886633480502927e-05
2010-01-13,6.823242849488967e-05
2010-01-14,1.4333435459371044e-05
2010-01-15,6.281867674046414e-05
2010-01-19,2.2852999130630055e-05
2010-01-20,0.00010583542901793091
2010-01-21,0.0001311531902738482
2010-01-22,8.476264082230662e-05
2010-01-25,4.0177126305078516e-05
2010-01-26,7.525068017176253e-05
2010-01-27,0.00010295723418078026
2010-01-28,0.00014959440207805644
2010-01-29,0.0002005479378360357
2010-02-01,2.5239289138476664e-05
2010-02-02,6.043411643852658e-05
2010-02-03,2.8057394170365807e-05
2010-02-04,0.00012346289929875842
2010-02-05,0.0002282601372373165
2010-02-08,6.894939023837965e-05
2010-02-09,0.0001241921036733147
2010-02-10,8.94599488583502e-05
2010-02-11,0.00012173192548649379
2010-02-12,9.6046316654486e-05
2010-02-16,3.4686394882075226e-05
2010-02-17,1.2877000854159387e-05
2010-02-18,2.8667708490253527e-05
2010-02-19,5.0865092366671944e-05
2010-02-22,1.817396094265553e-05
2010-02-23,5.812153167557349e-05
2010-02-24,2.130936855857349e-05
2010-02-25,0.0001265581053310904
2010-02-26,3.793893574040452e-05
2010-03-01,1.328166940370232e-05
2010-03-02,1.8730938986505275e-05
2010-03-03,3.255409429387217e-05
2010-03-04,1.5360665091290495e-05
2010-03-05,2.3708105882534407e-05
2010-03-08,7.058337346765228e-06
2010-03-09,3.9678487052219724e-05
2010-03-10,1.6902416602306148e-05
2010-03-11,3.672357757369472e-05
2010-03-12,1.4812384945681101e-05
2010-03-15,3.341852377584957e-05
2010-03-16,1.5377239499349035e-05
2010-03-17,2.488773655655887e-05
2010-03-18,1.608534220221751e-05
2010-03-19,5.808475341350547e-05
2010-03-22,6.190948023770256e-05
2010-03-23,2.6648518417732902e-05
2010-03-24,1.107028221820191e-05
2010-03-25,8.321687786124761e-05
2010-03-26,5.6562264860961246e-05
2010-03-29,1.0019488503401242e-05
2010-03-30,2.8765556439290237e-05
2010-03-31,2.6696515090050253e-05
2010-04-01,2.848674423242298e-05
2010-04-05,8.02337641020899e-06
2010-04-06,2.5701445839779845e-05
2010-04-07,4.5268532593207113e-05
2010-04-08,5.850844517378183e-05
2010-04-09,6.916292199128699e-06
2010-04-12,6.394870530264839e-06
2010-04-13,3.613856096122091e-05
2010-04-14,1.1207825147151103e-05
2010-04-15,9.799104116007007e-06
2010-04-16,0.00010348373271287929
2010-04-19,6.293680653180924e-05
2010-04-20,1.376141303854098e-05
2010-04-21,5.036238414682641e-05
2010-04-22,0.00012990376324064937
2010-04-23,2.7300947521451785e-05
2010-04-26,1.9196900143270628e-05
2010-04-27,0.00012407073683236996
2010-04-28,4.951388530641147e-05
2010-04-29,4.061731220892054e-05
2010-04-30,5.507521248223337e-05
2010-05-03,4.5019386452228146e-05
2010-05-04,0.0001515217837941196
2010-05-05,0.00011309903918831829
2010-05-06,0.003774283798580537
2010-05-07,0.0005954199547194044
2010-05-10,0.00024530580131167085
2010-05-11,0.00019286458449796032
2010-05-12,3.696219150568096e-05
2010-05-13,6.666664104488121e-05
2010-05-14,0.00023389106266336138
2010-05-17,0.0002845383053977614
2010-05-18,0.00028776138919313024
2010-05-19,0.00021890581105386502
2010-05-20,0.00012276412490473904
2010-05-21,0.00037090662862549677
2010-05-24,8.616228335905147e-05
2010-05-25,0.0005010486558365287
2010-05-26,0.0002530839900349856
2010-05-27,9.064212194671763e-05
2010-05-28,7.673143858586443e-05
2010-06-01,0.00017291043967363699
2010-06-02,8.78569145858414e-05
2010-06-03,7.443815812183944e-05
2010-06-04,0.00024575684329961284
2010-06-07,0.0001239732800439145
2010-06-08,0.0001552812002036293
2010-06-09,0.0002692925976839012
2010-06-10,0.0001025894708112834
2010-06-11,7.110486259962166e-05
2010-06-14,0.00010895345628648819
2010-06-15,6.09854317264848e-05
2010-06-16,5.430458709887308e-05
2010-06-17,5.680089316259832e-05
2010-06-18,1.950628135884248e-05
2010-06-21,0.0001823645727215675
2010-06-22,0.00013221487276472016
2010-06-23,8.200669620652608e-05
2010-06-24,6.178734744950391e-05
2010-06-25,0.00010518234967007185
2010-06-28,5.072498026968543e-05
2010-06-29,0.0002729644717672856
2010-06-30,0.00014600673680123248
2010-07-01,0.00024084891706302922
2010-07-02,0.00012856829681964812
2010-07-06,0.00027467025678166166
2010-07-07,0.0001228987977669092
2010-07-08,5.640801616688393e-05
2010-07-09,2.5311813688009334e-05
2010-07-12,4.5349925622517215e-05
2010-07-13,7.846778010316008e-05
2010-07-14,5.429248540325454e-05
2010-07-15,0.0001371246128969249
2010-07-16,0.00012234716835114295
2010-07-19,7.443156989998955e-05
2010-07-20,0.00019930613964809312
2010-07-21,0.00014534263881439035
2010-07-22,0.00012056436283258779
2010-07-23,6.93139867045647e-05
2010-07-26,3.0390431497730523e-05
2010-07-27,4.630098472659564e-05
2010-07-28,4.011737517083477e-05
2010-07-29,0.0002048648714643204
2010-07-30,0.00013788597002034874
